id,no_suivi,no_rapport,raport_type,date_envoi,crc,titre_raport,note,type_organisme,lat,long,ville
321,2013-218,jf00136569.html,Rapport d'observations définitives,05/07/2013,CRC Pays de la Loire,Département - Conseil général de la Mayenne - Enquête de la politique d'accueil de la petite enfance - Laval (Mayenne),59,Département,48.3061239,-0.620935,Mayenne
338,,jf00136732.html,Rapport d'observations définitives,08/10/2013,CRC Aquitaine Poitou-Charentes,Commune - Bayonne -  (Pyrénées-Atlantiques),15,Commune,43.492948999999996,-1.474841,Bayonne
367,,jf00137045.html,Rapport d'observations définitives,14/08/2013,CRC Nord-Pas-de-Calais Picardie,Département - Département du Pas-de-Calais -  (Pas-de-Calais),-33,Département,50.95129000000001,1.858686,Calais
371,,jf00137086.html,Rapport d'observations définitives,21/10/2013,CRC Aquitaine Poitou-Charentes,Commune - Barbaste -  (Lot-et-Garonne),-2,Commune,44.170718,0.287058,Barbaste
384,,jf00137172.html,Rapport d'observations définitives,25/10/2013,CRC Aquitaine Poitou-Charentes,Commune - Benquet -  (Landes),30,Commune,43.829396,-0.5010209999999999,Benquet
385,,jf00137173.html,Rapport d'observations définitives,25/10/2013,CRC Aquitaine Poitou-Charentes,Région - Région Aquitaine - Bordeaux (Gironde),64,Région,44.837789,-0.57918,Bordeaux
393,,jf00137197.html,Rapport d'observations définitives,31/10/2013,CRC Provence-Alpes-Côte d'Azur,Commune - Commune de Saint-Laurent-du-Var - Saint-Laurent-du-Var (Alpes-Maritimes),-282,Commune,43.673417,7.189811,St-Laurent-du-Var
408,,jf00137276.html,Rapport d'observations définitives,26/11/2013,CRC Provence-Alpes-Côte d'Azur,Commune - Eyguières - Eyguières (Bouches-du-Rhône),30,Commune,43.6592516,5.0189819,Eyguieres
412,,jf00137290.html,Rapport d'observations définitives,05/11/2013,CRC Aquitaine Poitou-Charentes,Commune - Parthenay -  (Deux-Sèvres),-183,Commune,46.648825,-0.25144099999999997,Parthenay
413,13-0143 R,jf00137295.html,Rapport d'observations définitives,31/10/2013,CRC Ile-de-France,Département - Département de Paris (Gestion de l'aide sociale à  l'enfance) -  (Paris),83,Département,48.856614,2.3522218999999995,Paris
437,,jf00137394.html,Rapport d'observations définitives,15/11/2013,CRC Provence-Alpes-Côte d'Azur,Commune - Martigues - Martigues (Bouches-du-Rhône),-333,Commune,43.4046945,5.0403487999999985,Viaduc de Martigues
442,13-0168 R,jf00137430.html,Rapport d'observations définitives,05/11/2013,CRC Ile-de-France,Commune - Bois-Colombes -  (Hauts-de-Seine),-101,Commune,48.917402,2.269675,Bois-Colombes
446,,jf00137438.html,Rapport d'observations définitives,18/11/2013,CRC Aquitaine Poitou-Charentes,Commune - Saint-Maixent-l'Ecole -  (Deux-Sèvres),-27,Commune,46.413165000000006,-0.20340999999999998,Saint-Maixent-l'École
451,2013-42,jf00137480.html,Rapport d'observations définitives,07/10/2013,CRC Bretagne,Commune - Saint-Pol-de-Leon - Saint-Pol-de-Leon (Finistère),162,Commune,48.630266600000006,-3.987971,Rue de Saint-Pol de Léon
457,LRR201310,jf00137537.html,Rapport d'observations définitives,15/11/2013,CRC Languedoc-Roussillon,Commune - Montpellier -  (Hérault),-54,Commune,43.610769,3.8767160000000005,Montpellier
469,2013-45,jf00137688.html,Rapport d'observations définitives,25/10/2013,CRC Bretagne,Commune - Saint-Georges-de-Chesne - Saint-Georges-de-Chesne (Ille-et-Vilaine),11,Commune,48.27356899999999,-1.291094,Saint-Georges-de-Chesné
470,,jf00137693.html,Rapport d'observations définitives,14/11/2013,CRC Basse-Normandie Haute-Normandie,Commune - Alençon -  (Orne),-7,Commune,48.432856,0.091266,Alençon
475,,jf00137763.html,Rapport d'observations définitives,04/10/2013,CRC Basse-Normandie Haute-Normandie,Communauté urbaine - Communaute urbaine de Cherbourg - Cherbourg-Octeville (Manche),-83,Communauté urbaine,49.633730799999995,-1.6221370000000002,Cherbourg-Octeville
481,2013-51,jf00137940.html,Rapport d'observations définitives,08/11/2013,CRC Bretagne,Commune - Guidel - Guidel (Morbihan),358,Commune,47.7663205,-3.5241898000000003,Guidel Plages
496,,jf00138202.html,Rapport d'observations définitives,31/07/2013,CRC Basse-Normandie Haute-Normandie,Commune - Lisieux -  (Calvados),0,Commune,49.145922,0.22784899999999997,Lisieux
497,,jf00138204.html,Rapport d'observations définitives,12/07/2013,CRC Basse-Normandie Haute-Normandie,Commune - Granville -  (Manche),-1,Commune,48.837579,-1.597302,Granville
498,,jf00138205.html,Rapport d'observations définitives,06/02/2013,CRC Basse-Normandie Haute-Normandie,Région - Région de Basse-Normandie  - Caen (Calvados),80,Région,49.182863,-0.370679,Caen
505,598,jf00138304.html,Rapport d'observations définitives,06/12/2013,CRC Nord-Pas-de-Calais Picardie,Département - Département du Pas-de-Calais -  (Pas-de-Calais),-125,Département,50.95129000000001,1.858686,Calais
531,,jf00138808.html,Rapport d'observations définitives,26/02/2013,CRC Auvergne Rhône-Alpes,Commune - Valence - Valence (Drôme),-10,Commune,39.4699075,-0.37628809999999996,Valencia
541,2014-01,jf00139067.html,Rapport d'observations définitives,24/12/2013,CRC Guadeloupe-Guyane-Martinique,Région - Région Martinique - Fort-de-France (Martinique),-93,Région,14.616064699999999,-61.0587804,Fort-de-France Bay
554,NPR201344,jf00139468.html,Rapport d'observations définitives,20/09/2013,CRC Nord-Pas-de-Calais Picardie,Etablissement hospitalier public - Centre hospitalier d'Arras - Arras (Pas-de-Calais),-167,Etablissement hospitalier public,50.573276899999996,2.3244679,Pas-de-Calais
559,,jf00139854.html,Rapport d'observations définitives,04/10/2013,CRC Basse-Normandie Haute-Normandie,Communauté urbaine - Communaute urbaine de Cherbourg - Cherbourg-Octeville (Manche),-8,Communauté urbaine,49.633730799999995,-1.6221370000000002,Cherbourg-Octeville
562,13-0124 R,jf00139898.html,Rapport d'observations définitives,29/11/2013,CRC Ile-de-France,Commune - Pierrefitte-sur-Seine -  (Seine-Saint-Denis),-177,Commune,48.967903,2.364077,Pierrefitte-sur-Seine
573,,jf00140143.html,Rapport d'observations définitives,26/11/2013,CRC Basse-Normandie Haute-Normandie,Commune - Agneaux -  (Manche),-17,Commune,49.119881899999996,-1.1131278999999998,Agneaux
582,2014-007,jf00140245.html,Rapport d'observations définitives,30/10/2013,CRC Midi-Pyrénées,Commune - Lisle-sur-Tarn - Lisle-sur-Tarn (Tarn),83,Commune,43.8507008,1.8076153000000001,Route de Lisle-sur-Tarn
586,2013-47,jf00140314.html,Rapport d'observations définitives,05/11/2013,CRC Bretagne,Commune - Domloup - Domloup (Ille-et-Vilaine),-3,Commune,48.108102200000005,-1.5806225,Route de Domloup
590,,jf00140369.html,Rapport d'observations définitives,19/08/2013,CRC Centre Limousin,Commune - ORLEANS - Orleans (Loiret),22,Commune,47.91914269999999,1.8957822,Place de la Nouvelle Orléans
591,,jf00140377.html,Rapport d'observations définitives,06/05/2014,CRC Aquitaine Poitou-Charentes,Commune - Roullet-Saint-Estèphe -  (Charente),74,Commune,45.5912616,0.0285704,Roullet-Saint-Estèphe
592,,jf00140378.html,Rapport d'observations définitives,06/05/2014,CRC Aquitaine Poitou-Charentes,Commune - Casteljaloux -  (Lot-et-Garonne),6,Commune,44.31374599999999,0.088354,Casteljaloux
597,,jf00140474.html,Rapport d'observations définitives,06/05/2014,CRC Aquitaine Poitou-Charentes,Commune - Gujan-Mestras -  (Gironde),-16,Commune,44.635731,-1.071189,Gujan-Mestras
599,,jf00140498.html,Rapport d'observations définitives,14/05/2014,CRC Aquitaine Poitou-Charentes,Commune - Martignas-sur-Jalle -  (Gironde),-91,Commune,44.840365999999996,-0.7749009,Martignas-sur-Jalle
611,,jf00140614.html,Rapport d'observations définitives,19/05/2014,CRC Aquitaine Poitou-Charentes,Commune - Nay -  (Pyrénées-Atlantiques),41,Commune,43.20377149999999,-0.2927318,Place de la Mairie
650,,jf00141012.html,Rapport d'observations définitives,01/03/2013,CRC Auvergne Rhône-Alpes,Commune - Saint-Gervais-les-Bains - Saint-Gervais-les-Bains (Haute-Savoie),16,Commune,45.9063919,6.701072999999999,Gare de Saint-Gervais-les-Bains-Le Fayet
652,,jf00141028.html,Rapport d'observations définitives,26/06/2014,CRC Aquitaine Poitou-Charentes,Communauté de communes - Communauté de communes de la région de Couhé - Couhé (Vienne),-37,Communauté de communes,48.208174299999996,16.3738189,Vienna
